the complete bbc sessions,led zeppelin,8.2
imaginational anthem vol. 8 : the private press,various artists,7.5
furfour,grumbling fur,7.6
love means taking action,croatian amor,7.0
preoccupations,preoccupations,7.9
artscience,robert glasper experiment,7.6
body wash,mndsgn,7.7
sumerlands,sumerlands,8.0
another green world,brian eno,10.0
the divine feminine ,mac miller,7.8
femenine,julius eastman,8.9
pretty years,cymbals eat guitars,8.0
stage four,touch amor,8.1
clinging to a dream,silver apples,7.1
lady parts,fudge,6.8
light falls,wrekmeister harmonies,7.7
the wink,tim presley,7.8
skeleton tree,nick cave & the bad seeds,9.0
e2-e4,manuel gttsching,9.2
the assistenz,cristian vogel,7.4
kokoro,el perro del mar,7.1
aim ,m.i.a.,5.9
time fades away,neil young,9.1
orphe,jhann jhannsson,7.5
desconstruo,various artists,8.3
acoustic recordings 1998-2016,jack white,8.0
afro-cuban electronics,alpha 606,6.5
pearls to swine,adam torres,7.5
arvo prt: the deer's cry,vox clamantis,7.4
caetano veloso,caetano veloso,9.4
twin peaks ost,angelo badalamenti,9.0
away,okkervil river,7.0
anything but words,banks & steelz,4.4
deserts of youth,lisa/liza,8.0
schmilco,wilco,7.0
goodbye to language,daniel lanois,8.1
the end of comedy,drugdealer,7.4
we move,james vincent mcmorrow,7.3
birds in the trap sing mcknight,travis scott,7.2
2007-2011,p.s. eliot,8.2
emotion side b,carly rae jepsen,7.1
as light as light,inc. no world,6.8
the suns tirade ,isaiah rashad,8.1
false readings on,eluvium,7.0
circle 1: live in germany concert,circle,8.1
the serious ep,bibio,6.0
ultra,zomby,7.9
here,teenage fanclub,7.8
splendor & misery,clipping.,5.3
patientness,yohuna,7.2
a rainbow in curved air,terry riley,9.1
and the anonymous nobody...,de la soul,6.4
existentialism,mekons,7.5
cosmetic,nots,7.8
science agrees,d.a.r.k.,6.2
my woman,angel olsen,8.8
kiss me all night ep,junior boys,7.3
blisters,serpentwithfeet,8.0
92982,william basinski,8.7
jeffery,young thug,8.5
funk factory,funk factory,7.3
the party's over ep,prophets of rage,2.0
becoming the beach boys: the complete hite & dorinda morgan sessions,the beach boys,5.3
opalescent,jon hopkins,5.6
trouble,the dead c,7.3
prima donna ,vince staples,8.0
amnesty (i),crystal castles,6.8
water ep,porches,7.5
whole & cloven,nathan bowles,7.5
mangy love,cass mccombs,8.1
for this we fought the battle of ages,subrosa,8.2
motion graphics,motion graphics,8.0
things fall apart,the roots,9.4
the bells,kornl kovcs,7.7
larva lumps and baby bumps,controlled bleeding,7.4
ibifornia ,cassius,5.9
instinctive drowning,red pill,6.5
nexus,feral,7.4
4th of july,carl broemel,6.3
blonde,frank ocean,9.0
atomic bomb compilation vol. 4,various artists,7.7
partners,peter broderick,7.6
blade of love,battle trance,7.5
i told you,tory lanez,6.3
home wrecking years,brendan canning,5.0
cdw ep,charlotte day wilson,7.8
fantasy live 1999,tokyo black star,7.6
miss sharon jones! ost,sharon jones and the dap-kings,7.0
i.b. tree,tree,7.7
skiptracing,mild high club,6.8
star core,marielle v. jakobsons,7.8
the childhood of a leader ost,scott walker,7.9
blue rider songs,scott hirsch,8.0
phase zero,morgan delt,6.8
songs in the key of life,stevie wonder,10.0
honor killed the samurai,ka,8.0
