The Chocolate Box EP,Jeremih,5.2
Surrender Your Soul,Killy,6.8
Now Only,Mount Eerie,8.5
The Neighbourhood,The Neighbourhood,4.7
Cocoa Sugar,Young Fathers,7.3
Myths 003 EP,DungenWoods,7.6
New Path,Essaie Pas,7.7
The Wolf of Grape Street,03 Greedo,8.0
Bobby Tarantino II,Logic,6.7
Physically Sick 2,Various Artists,7.2
Communion,Park Jiha,7.0
You Were Never Really Here (Original Motion Picture Soundtrack),Jonny Greenwood,7.8
Francis Trouble,Albert Hammond Jr.,7.2
August Greene,August Greene,6.5
LONER,Caroline Rose,7.6
White Is Relic/Irrealis Mood,Of Montreal,7.2
Have fun EP,Smerz,8.1
Crânio EP,DJ Nigga Fox,8.0
GVVVV,CRZKNY,6.6
American Utopia,David Byrne,5.8
Path,Kraus,7.3
Spiritual Conversations EP,Mozzy,6.8
I Need to Start a Garden,Haley Heynderickx,7.3
Eucalyptus EP,8ULENTINA,7.5
Get Up With It,Miles Davis,9.6
Everything Was Beautiful, and Nothing Hurt,Moby,5.7
Whistle Down the Wind,Joan Baez,7.4
Hunchin’ All Night,Various Artists,7.3
I’m Bad Now,Nap Eyes,7.6
Lil Boat 2,Lil Yachty,5.8
Riddles,Ed Schrader’s Music Beat,7.4
OMGRONNY,Ronny J,6.8
Corpse Fortress,Ilsa,7.2
You’re Not Alone,Andrew W.K.,6.6
GOOD Job, You Found Me EP,Valee,7.4
Feeling EP,Lost Girls,7.6
Shit Don’t Rhyme No More,Elucid,7.7
Memories Don’t Die,Tory Lanez,5.5
How to Socialise & Make Friends,Camp Cope,7.8
RR2: The Bitter Dose,Roc Marciano,8.0
Álbum Desconhecido,P. Adrix,7.4
A Productive Cough,Titus Andronicus,5.9
Historian,Lucy Dacus,8.1
Black Times,Seun Kuti & Egypt 80,7.6
American Dollar Bill - Keep Facing Sideways, You’re Too Hideous to Look At Face on,Keiji HainoSumac,7.3
Clean,Soccer Mommy,8.4
Who Are You,E Ruscha V,7.7
Drift,The Men,6.6
Still Trippin’,DJ Taye,7.8
Record,Tracey Thorn,8.0
The Diary,Scarface,9.3
Dreamweapon,Spacemen 3,6.6
Once EP,Peggy Gou,7.7
Felt,Suuns,7.4
Tahoe,Dedekind Cut,7.2
All Nerve,The Breeders,7.1
Superorganism,Superorganism,7.8
Stone Woman EP,Charlotte Day Wilson,6.7
Hexadic III,Various Artists,7.6
2012 - 2017,A.A.L (Against All Logic),8.8
Worldwide Angel,Bad Gyal,6.2
WWW.,Towkio,5.8
This Is Eggland,The Lovely Eggs,7.0
Time & Space,Turnstile,5.4
Smell Smoke,Vundabar,7.5
Basic Behaviour,FRIGS,6.7
